country,country_code,indicator_code,indicator_name,year,value
Germany,DEU,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2017,12.9165502160795
Germany,DEU,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2016,12.7851353749033
Germany,DEU,SP.POP.0014.FE.ZS,"Population ages 0-14, female (% of female population)",2015,12.6539531600228
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2023,61.5275406885296
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2022,61.8544310300567
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2021,62.2341312815512
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2020,62.6144590323747
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2019,62.9092879111308
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2018,63.1694112590484
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2017,63.4138351163294
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2016,63.6802173274509
Germany,DEU,SP.POP.1564.FE.ZS,"Population ages 15-64, female (% of female population)",2015,63.9011084719902
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2023,25.0994065436325
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2022,24.7787594510333
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2021,24.4548663756852
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2020,24.1667065938642
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2019,23.9662031029132
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2018,23.8056444277323
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2017,23.6696146675912
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2016,23.5346472976459
Germany,DEU,SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",2015,23.444938367987
Germany,DEU,SM.POP.NETM,Net migration,2023,609553.0
Germany,DEU,SM.POP.NETM,Net migration,2022,981552.0
Germany,DEU,SM.POP.NETM,Net migration,2021,310264.0
Germany,DEU,SM.POP.NETM,Net migration,2020,203468.0
Germany,DEU,SM.POP.NETM,Net migration,2019,319082.0
Germany,DEU,SM.POP.NETM,Net migration,2018,403908.0
Germany,DEU,SM.POP.NETM,Net migration,2017,452988.0
Germany,DEU,SM.POP.NETM,Net migration,2016,517480.0
Germany,DEU,SM.POP.NETM,Net migration,2015,1175283.0
Germany,DEU,SM.POP.TOTL.ZS,International migrant stock (% of population),2020,18.0
Germany,DEU,SM.POP.TOTL.ZS,International migrant stock (% of population),2015,15.4
Spain,ESP,SP.POP.TOTL,Total Population,2023,48347910.0
Spain,ESP,SP.POP.TOTL,Total Population,2022,47786102.0
Spain,ESP,SP.POP.TOTL,Total Population,2021,47443821.0
Spain,ESP,SP.POP.TOTL,Total Population,2020,47359424.0
Spain,ESP,SP.POP.TOTL,Total Population,2019,47118501.0
Spain,ESP,SP.POP.TOTL,Total Population,2018,46782011.0
Spain,ESP,SP.POP.TOTL,Total Population,2017,46571232.0
Spain,ESP,SP.POP.TOTL,Total Population,2016,46458139.0
Spain,ESP,SP.POP.TOTL,Total Population,2015,46422303.0
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2023,49.0996623363287
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2022,49.1039807889805
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2021,49.1099201869261
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2020,49.1138705552429
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2019,49.1188701164399
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2018,49.1286644306146
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2017,49.1527364965816
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2016,49.1889599270713
Spain,ESP,SP.POP.TOTL.MA.ZS,"Population, male (% of total population)",2015,49.2234439242865
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2023,50.9003376636713
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2022,50.8960192110195
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2021,50.8900798130739
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2020,50.8861294447571
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2019,50.8811298835601
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2018,50.8713355693854
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2017,50.8472635034184
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2016,50.8110400729287
Spain,ESP,SP.POP.TOTL.FE.ZS,"Population, female (% of total population)",2015,50.7765560757135
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2023,13.2586507610337
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2022,13.5959103362946
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2021,13.9083161586305
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2020,14.1995072556252
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2019,14.4487958383745
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2018,14.665685455539
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2017,14.8205817262009
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2016,14.9182925617657
Spain,ESP,SP.POP.0014.TO.ZS,Population ages 0-14 (% of total population),2015,14.9967903134298
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2023,66.0876417150889
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2022,66.2160904145149
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2021,66.2783015470184
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2020,66.2408766587242
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2019,66.1693765330282
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2018,66.1319737035927
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2017,66.1865982307919
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2016,66.3143685616246
Spain,ESP,SP.POP.1564.TO.ZS,Population ages 15-64 (% of total population),2015,66.4614550787613
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2023,20.6537075238774
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2022,20.1879992491906
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2021,19.8133822943511
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2020,19.5596160856506
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2019,19.3818276285973
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2018,19.2023408408683
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2017,18.9928200430073
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2016,18.7673388766097
Spain,ESP,SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),2015,18.5417546078088
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2023,13.9000345747049
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2022,14.2522771361564
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2021,14.5776900224059
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2020,14.8826959450926
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2019,15.1439073328079
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2018,15.367806136858
Spain,ESP,SP.POP.0014.MA.ZS,"Population ages 0-14, male (% of male population)",2017,15.5227760564794
